# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
16

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,HVYNISNPNK,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
-7.401486830834376525e-17, -7.401486830834376525e-17, -4.782608695652170727e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-7.401486830834376525e-17, 0.000000000000000000e+00, -4.782608695652170727e-01, 0.000000000000000000e+00, 2.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -4.782608695652170172e-01, 0.000000000000000000e+00, 5.000000000000000000e-01
-7.401486830834376525e-17, 0.000000000000000000e+00, -4.782608695652170727e-01, 0.000000000000000000e+00, 7.500000000000000000e-01
-7.401486830834376525e-17, 0.000000000000000000e+00, -4.782608695652171282e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
0.000000000000000000e+00, 3.700743415417188263e-17, -4.782608695652169062e-01, 0.000000000000000000e+00, 1.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -4.782608695652170172e-01, 0.000000000000000000e+00, 1.500000000000000000e+00
-7.401486830834376525e-17, 7.401486830834376525e-17, -4.782608695652170172e-01, 0.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, 7.401486830834376525e-17, -4.782608695652170727e-01, 0.000000000000000000e+00, 2.000000000000000000e+00
-7.401486830834376525e-17, 7.401486830834376525e-17, -4.782608695652170727e-01, 0.000000000000000000e+00, 2.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -4.782608695652171282e-01, 0.000000000000000000e+00, 2.500000000000000000e+00
-7.401486830834376525e-17, 0.000000000000000000e+00, -4.782608695652170172e-01, 0.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 1.643460219210441170e-32, -4.782608695652170727e-01, 0.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -4.782608695652171282e-01, 0.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -4.782608695652171282e-01, 0.000000000000000000e+00, 3.500000000000000000e+00
-7.401486830834376525e-17, 0.000000000000000000e+00, -4.782608695652170172e-01, 0.000000000000000000e+00, 3.750000000000000000e+00
-7.401486830834376525e-17, -7.401486830834376525e-17, -4.782608695652170727e-01, 0.000000000000000000e+00, 4.000000000000000000e+00
4.193421831108977149e-01, 2.867238363376214405e-01, -4.782608695652171282e-01, 2.000000000000000111e-01, 0.000000000000000000e+00
4.190214767889783865e-01, 2.641217619643942416e-01, -5.801295811027558091e-01, 2.000000000000000111e-01, 2.500000000000000000e-01
4.184085568371444519e-01, 2.020122791339174495e-01, -6.685760395698907566e-01, 2.000000000000000111e-01, 5.000000000000000000e-01
4.179500268126249973e-01, 1.097590570504428376e-01, -7.326261959667190737e-01, 2.000000000000000111e-01, 7.500000000000000000e-01
4.177837104180202044e-01, -1.376676550535194254e-17, -7.574782029673134964e-01, 2.000000000000000111e-01, 1.000000000000000000e+00
4.179500268126251639e-01, -1.097590570504428376e-01, -7.326261959667188517e-01, 2.000000000000000111e-01, 1.250000000000000000e+00
4.184085568371442854e-01, -2.020122791339174495e-01, -6.685760395698906455e-01, 2.000000000000000111e-01, 1.500000000000000000e+00
4.190214767889784975e-01, -2.641217619643943526e-01, -5.801295811027555871e-01, 2.000000000000000111e-01, 1.750000000000000000e+00
4.193421831108977704e-01, -2.867238363376214405e-01, -4.782608695652171282e-01, 2.000000000000000111e-01, 2.000000000000000000e+00
4.190214767889783865e-01, -2.641217619643943526e-01, -3.763921580276786139e-01, 2.000000000000000111e-01, 2.250000000000000000e+00
4.184085568371442854e-01, -2.020122791339175328e-01, -2.879456995605434999e-01, 2.000000000000000111e-01, 2.500000000000000000e+00
4.179500268126249973e-01, -1.097590570504428653e-01, -2.238955431637152382e-01, 2.000000000000000111e-01, 2.750000000000000000e+00
4.177837104180202044e-01, -4.774065247325935925e-17, -1.990435361631208711e-01, 2.000000000000000111e-01, 3.000000000000000000e+00
4.179500268126252749e-01, 1.097590570504427265e-01, -2.238955431637153493e-01, 2.000000000000000111e-01, 3.250000000000000000e+00
4.184085568371442299e-01, 2.020122791339174495e-01, -2.879456995605436109e-01, 2.000000000000000111e-01, 3.500000000000000000e+00
4.190214767889782754e-01, 2.641217619643942971e-01, -3.763921580276785583e-01, 2.000000000000000111e-01, 3.750000000000000000e+00
4.193421831108977149e-01, 2.867238363376214405e-01, -4.782608695652171282e-01, 2.000000000000000111e-01, 4.000000000000000000e+00
9.955852787946390947e-01, 5.277302384748101538e-01, -4.782608695652170727e-01, 4.000000000000000222e-01, 0.000000000000000000e+00
9.946231598288809428e-01, 4.887852090547685213e-01, -6.601987693207351793e-01, 4.000000000000000222e-01, 2.500000000000000000e-01
9.927843999733788616e-01, 3.782621892742427105e-01, -8.169328433250960808e-01, 4.000000000000000222e-01, 5.000000000000000000e-01
9.914088098998209420e-01, 2.080849581639647172e-01, -9.319135525201851511e-01, 4.000000000000000222e-01, 7.500000000000000000e-01
9.909098607160063965e-01, -1.332267629550182869e-18, -9.771079628698153829e-01, 4.000000000000000222e-01, 1.000000000000000000e+00
9.914088098998210530e-01, -2.080849581639646617e-01, -9.319135525201851511e-01, 4.000000000000000222e-01, 1.250000000000000000e+00
9.927843999733787506e-01, -3.782621892742429326e-01, -8.169328433250960808e-01, 4.000000000000000222e-01, 1.500000000000000000e+00
9.946231598288810538e-01, -4.887852090547687434e-01, -6.601987693207349572e-01, 4.000000000000000222e-01, 1.750000000000000000e+00
9.955852787946390947e-01, -5.277302384748102648e-01, -4.782608695652170727e-01, 4.000000000000000222e-01, 2.000000000000000000e+00
9.946231598288809428e-01, -4.887852090547687434e-01, -2.963229698096990772e-01, 4.000000000000000222e-01, 2.250000000000000000e+00
9.927843999733787506e-01, -3.782621892742429326e-01, -1.395888958053380646e-01, 4.000000000000000222e-01, 2.500000000000000000e+00
9.914088098998209420e-01, -2.080849581639646617e-01, -2.460818661024911230e-02, 4.000000000000000222e-01, 2.750000000000000000e+00
9.909098607160063965e-01, -5.995523057289133722e-17, 2.058622373938120975e-02, 4.000000000000000222e-01, 3.000000000000000000e+00
9.914088098998210530e-01, 2.080849581639644952e-01, -2.460818661024921639e-02, 4.000000000000000222e-01, 3.250000000000000000e+00
9.927843999733787506e-01, 3.782621892742427661e-01, -1.395888958053380924e-01, 4.000000000000000222e-01, 3.500000000000000000e+00
9.946231598288808318e-01, 4.887852090547686323e-01, -2.963229698096989662e-01, 4.000000000000000222e-01, 3.750000000000000000e+00
9.955852787946390947e-01, 5.277302384748102648e-01, -4.782608695652170727e-01, 4.000000000000000222e-01, 4.000000000000000000e+00
1.637157282922931500e+00, 7.253747224431881246e-01, -4.782608695652170727e-01, 5.999999999999999778e-01, 0.000000000000000000e+00
1.635714104474293995e+00, 6.735240801948856326e-01, -7.220524621914301555e-01, 5.999999999999999778e-01, 2.500000000000000000e-01
1.632955964691041428e+00, 5.242027732661158623e-01, -9.295816551798906646e-01, 5.999999999999999778e-01, 5.000000000000000000e-01
1.630892579580704549e+00, 2.904402458480851434e-01, -1.081496502377031987e+00, 5.999999999999999778e-01, 7.500000000000000000e-01
1.630144155804982287e+00, 1.798561299892753652e-17, -1.141219965162178607e+00, 5.999999999999999778e-01, 1.000000000000000000e+00
1.630892579580704549e+00, -2.904402458480850324e-01, -1.081496502377031987e+00, 5.999999999999999778e-01, 1.250000000000000000e+00
1.632955964691041428e+00, -5.242027732661160844e-01, -9.295816551798905536e-01, 5.999999999999999778e-01, 1.500000000000000000e+00
1.635714104474294883e+00, -6.735240801948858547e-01, -7.220524621914301555e-01, 5.999999999999999778e-01, 1.750000000000000000e+00
1.637157282922931723e+00, -7.253747224431883467e-01, -4.782608695652170727e-01, 5.999999999999999778e-01, 2.000000000000000000e+00
1.635714104474293995e+00, -6.735240801948860767e-01, -2.344692769390040454e-01, 5.999999999999999778e-01, 2.250000000000000000e+00
1.632955964691040762e+00, -5.242027732661160844e-01, -2.694008395054336980e-02, 5.999999999999999778e-01, 2.500000000000000000e+00
1.630892579580704549e+00, -2.904402458480850324e-01, 1.249747632465973146e-01, 5.999999999999999778e-01, 2.750000000000000000e+00
1.630144155804982509e+00, -4.829948243589364789e-17, 1.846982260317442115e-01, 5.999999999999999778e-01, 3.000000000000000000e+00
1.630892579580704327e+00, 2.904402458480848104e-01, 1.249747632465972730e-01, 5.999999999999999778e-01, 3.250000000000000000e+00
1.632955964691040762e+00, 5.242027732661159733e-01, -2.694008395054340796e-02, 5.999999999999999778e-01, 3.500000000000000000e+00
1.635714104474293995e+00, 6.735240801948858547e-01, -2.344692769390039067e-01, 5.999999999999999778e-01, 3.750000000000000000e+00
1.637157282922931723e+00, 7.253747224431883467e-01, -4.782608695652170727e-01, 5.999999999999999778e-01, 4.000000000000000000e+00
2.252486191367482959e+00, 8.820128042743775598e-01, -4.782608695652170727e-01, 8.000000000000000444e-01, 0.000000000000000000e+00
